currency,date,closing,open,high,low,Rolling_Avg_7
BTC,2014-01-08,855.75933,962.46447,970.22516,788.70166,917.9031757142858
BTC,2014-01-09,860.84166,855.75933,886.02916,822.32296,902.2161514285715
BTC,2014-01-09,860.84166,855.75933,886.02916,822.32296,887.6986071428572
BTC,2014-01-09,860.84166,855.75933,886.02916,822.32296,873.1810628571429
BTC,2014-01-10,847.5325,860.84166,880.64166,814.17054,856.76221
BTC,2014-01-10,847.5325,860.84166,880.64166,814.17054,855.5869485714286
BTC,2014-01-10,847.5325,860.84166,880.64166,814.17054,854.4116871428571
BTC,2014-01-11,892.26115,847.5325,902.035,837.57458,859.6262328571429
BTC,2014-01-11,892.26115,847.5325,902.035,837.57458,864.1147314285714
BTC,2014-01-11,892.26115,847.5325,902.035,837.57458,868.6032299999999
BTC,2014-01-12,916.69666,892.26115,940.495,876.57666,876.5825157142857
BTC,2014-01-12,916.69666,892.26115,940.495,876.57666,886.46311
BTC,2014-01-12,916.69666,892.26115,940.495,876.57666,896.3437042857142
BTC,2014-01-13,873.27168,916.69666,920.71733,857.73833,900.02073
BTC,2014-01-13,873.27168,916.69666,920.71733,857.73833,897.3079485714285
BTC,2014-01-13,873.27168,916.69666,920.71733,857.73833,894.5951671428572
BTC,2014-01-14,863.69888,873.27168,873.27168,821.00333,890.5148428571429
BTC,2014-01-14,863.69888,873.27168,873.27168,821.00333,882.9437314285715
BTC,2014-01-14,863.69888,873.27168,873.27168,821.00333,875.37262
BTC,2014-01-15,853.25666,863.69888,871.11385,839.125,866.3097628571429
BTC,2014-01-15,853.25666,863.69888,871.11385,839.125,863.4504742857143
BTC,2014-01-15,853.25666,863.69888,871.11385,839.125,860.5911857142856
BTC,2014-01-16,874.07416,853.25666,888.88519,853.25666,860.7058257142857
BTC,2014-01-16,874.07416,853.25666,888.88519,853.25666,862.1880085714286
BTC,2014-01-16,874.07416,853.25666,888.88519,853.25666,863.6701914285715
BTC,2014-01-17,842.19173,874.07416,879.62999,841.27916,860.5977414285715
BTC,2014-01-17,842.19173,874.07416,879.62999,841.27916,859.0170371428572
BTC,2014-01-17,842.19173,874.07416,879.62999,841.27916,857.4363328571428
BTC,2014-01-18,834.86666,842.19173,854.32827,810.22333,854.80919
BTC,2014-01-18,834.86666,842.19173,854.32827,810.22333,849.2081185714286
BTC,2014-01-18,834.86666,842.19173,854.32827,810.22333,843.6070471428571
BTC,2014-01-19,838.42916,834.86666,850.56666,834.08333,838.5149042857144
BTC,2014-01-19,838.42916,834.86666,850.56666,834.08333,837.9773942857144
BTC,2014-01-19,838.42916,834.86666,850.56666,834.08333,837.4398842857142
BTC,2014-01-20,881.87583,838.42916,885.16166,834.77499,843.1090414285715
BTC,2014-01-20,881.87583,838.42916,885.16166,834.77499,849.824637142857
BTC,2014-01-20,881.87583,838.42916,885.16166,834.77499,856.5402328571428
BTC,2014-01-21,873.28916,881.87583,882.45166,857.84584,862.0291614285715
BTC,2014-01-21,873.28916,881.87583,882.45166,857.84584,867.0091614285714
BTC,2014-01-21,873.28916,881.87583,882.45166,857.84584,871.9891614285715
BTC,2014-01-22,874.13266,873.28916,876.14065,861.77833,877.0896614285714
BTC,2014-01-22,874.13266,873.28916,876.14065,861.77833,875.9834942857143
BTC,2014-01-22,874.13266,873.28916,876.14065,861.77833,874.8773271428572
BTC,2014-01-23,864.56116,874.13266,874.13266,854.05916,872.403802857143
BTC,2014-01-23,864.56116,874.13266,874.13266,854.05916,871.1569457142857
BTC,2014-01-23,864.56116,874.13266,874.13266,854.05916,869.9100885714286
BTC,2014-01-24,838.14997,864.56116,866.45964,834.99822,864.8902042857143
BTC,2014-01-24,838.14997,864.56116,866.45964,834.99822,859.74982
BTC,2014-01-24,838.14997,864.56116,866.45964,834.99822,854.6094357142857
BTC,2014-01-25,834.57416,838.14997,838.26,810.64042,848.9582214285714
BTC,2014-01-25,834.57416,838.14997,838.26,810.64042,844.6743642857143
BTC,2014-01-25,834.57416,838.14997,838.26,810.64042,840.3905071428572
BTC,2014-01-26,858.12641,834.57416,876.24165,833.72638,839.4712571428572
BTC,2014-01-26,858.12641,834.57416,876.24165,833.72638,842.3250342857143
BTC,2014-01-26,858.12641,834.57416,876.24165,833.72638,845.1788114285715
BTC,2014-01-27,887.08337,858.12641,899.2283,851.74833,852.1692971428572
BTC,2014-01-27,887.08337,858.12641,899.2283,851.74833,859.6706128571428
BTC,2014-01-27,887.08337,858.12641,899.2283,851.74833,867.1719285714286
BTC,2014-01-28,830.53133,887.08337,887.37698,800.03833,866.5943814285713
BTC,2014-01-28,830.53133,887.08337,887.37698,800.03833,862.652227142857
BTC,2014-01-28,830.53133,887.08337,887.37698,800.03833,858.7100728571429
BTC,2014-01-29,832.89496,830.53133,860.24269,798.18333,855.10558
BTC,2014-01-29,832.89496,830.53133,860.24269,798.18333,847.3643785714285
BTC,2014-01-29,832.89496,830.53133,860.24269,798.18333,839.6231771428572
BTC,2014-01-30,832.87399,832.89496,846.92594,832.25583,831.8789800000001
BTC,2014-01-30,832.87399,832.89496,846.92594,832.25583,832.2136457142858
BTC,2014-01-30,832.87399,832.89496,846.92594,832.25583,832.5483114285715
BTC,2014-01-31,841.48914,832.87399,855.86653,816.05635,834.1137128571428
BTC,2014-01-31,841.48914,832.87399,855.86653,816.05635,835.3414528571429
